run_id,snapshot_time_utc,date,hour,minute,market_phase,asset_class,root_symbol,watch_type,event_id,market_id,question,slug,yes_token_id,no_token_id,yes_price,no_price,mid_price,volume_total,liquidity,open_interest,match_score,selection_score,fetch_status,source_api
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,crypto,PRESIDENTIAL,dynamic,31552,561263,Will Eric Trump win the 2028 US Presidential Election?,will-eric-trump-win-the-2028-us-presidential-election,67028631656597977031363620447645908995417871899828777750494099295092202422178,92435534412344629891924787958876018882926476169555134960124357040149315497159,0.0085,0.9915,0.0084999999999999,2569808.818469998,991336.248,0.0,0.5,194786832.2964705,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,crypto,BTC,fixed,238474,1473040,"Will Bitcoin reach $150,000 in March?",will-bitcoin-reach-150k-in-march-2026,73624432805780182150964443951045800666977811185963019133914618974858599458273,1666184515532238710431784265702709312060757077236443477960106115591255115343,0.0045,0.9955,0.0044999999999999,6876803.463892931,943717.13815,0.0,0.5,12574559.887033468,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,crypto,ETH,fixed,31759,561829,"Russia x Ukraine ceasefire by March 31, 2026?",russia-x-ukraine-ceasefire-by-march-31-2026,24394670903706558879845790079760859552309100903651562795058188175118941818512,82991837887127223585838300135823820957946688171642633953055760547186260528157,0.0205,0.9795,0.0204999999999999,23279106.761684418,305456.01144,0.0,0.5,11731190.18427421,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,crypto,SOL,fixed,30829,559657,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,will-stephen-a-smith-win-the-2028-democratic-presidential-nomination-914,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,0.0165,0.9835,0.0164999999999999,11434004.677769218,321626.03395,0.0,0.5,403737998.2278496,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,stock,DJIA,dynamic,249805,1514769,Dow Jones (DJIA) Up or Down on March 9?,djia-up-or-down-on-march-9-2026,52516203409703075672050598502631401237159620104509085217445194025340571273037,3325603703301725367238452019913262249722618961182730781916327109169913321155,0.345,0.655,0.345,11697.637794999995,1852.5094,0.0,0.5,6404.571717499997,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,stock,RUT,dynamic,249817,1514793,Russell 2000 (RUT) Up or Down on March 9?,rut-up-or-down-on-march-9-2026,57428543285287597341528689686699296250539981454415394325965394964030076863268,104892791197413121166517940200456279179205094506569283136340591607043161489989,0.63,0.37,0.63,34323.375497000015,813.6889,0.0,0.5,17405.79441850001,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,stock,AAPL,fixed,249781,1514702,Apple (AAPL) Up or Down on March 9?,aapl-up-or-down-on-march-9-2026,19808226147348083897031959012798230973450854960848627704456912704664532346436,13406518761729931961851615682453860241282457569552758228894677915615681094572,0.375,0.625,0.375,3684.716292,583.3733,0.0,1.0,2017.370136,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,stock,AMZN,fixed,249797,1514757,Amazon (AMZN) Up or Down on March 9?,amzn-up-or-down-on-march-9-2026,80021219607008516528277442260193352185410153761966836886502140161998011892162,108853950520272559879130318602344824962632416557435331993641412412547807514702,0.5,0.5,0.5,34.0,273.3679,0.0,1.0,99.01037,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,stock,GOOGL,fixed,249802,1514766,Google (GOOGL) Up or Down on March 9?,googl-up-or-down-on-march-9-2026,44094010161024409927882814596723998290878704424720501457902745248193279794638,44108991473389127286246908894094910158330910061089014013289228154594781444101,0.52,0.48,0.52,4389.514246999997,2481.4326,0.0,1.0,2939.1869034999986,ok,gamma/events
c89f93c0,2026-03-08T13:12:23.114992+00:00,2026-03-08,13,12,pre,stock,META,fixed,249807,1514776,Meta (META) Up or Down on March 9?,meta-up-or-down-on-march-9-2026,73166033314283110009347257655712887226811646343697308703062045958407983472737,87372177300150091355978158066364872197704591449573578077878286609425513279007,0.5,0.5,0.5,0.0,279.6997,0.0,0.3333333333333333,83.90991,ok,gamma/events
